nr. clients,Avg. Response Time (us),Standard deviation (us)
4,495.0,411.97
8,537.0,446.42499999999995
12,603.5,616.375
16,724.0,982.065
20,908.5,1344.335
24,1064.5,1645.465
28,1168.0,1808.1550000000002
32,1268.5,1930.32
36,1367.0,1990.74
40,1472.5,2180.665
44,1553.0,2218.16
48,1641.0,2300.86
52,1704.5,2478.3
56,1824.5,2378.625
60,1899.0,2474.605
64,1974.5,2493.275
68,2172.0,2831.8199999999997
72,2246.5,2765.575
76,2312.5,2742.45
80,2391.5,2788.88
84,2583.5,3016.66
88,2609.5,2951.005
92,2710.5,2984.625
96,2832.5,3121.4
100,2949.0,3161.19
104,3089.0,3238.66
108,3190.0,3307.135
112,3280.0,3351.96
116,3306.0,3244.9
120,3422.5,3397.76
124,3579.5,3625.705
128,3638.5,3435.75
