Time (10 x sec), TPS (ops/sec)
1,5377
2,5677
3,5570
4,5642
5,5335
6,5647
7,5541
8,5614
9,5598
10,5633
11,5447
12,5273
13,5623
14,5421
15,5205
16,5110
17,5280
18,5289
19,5097
20,5699
21,5575
22,5908
23,5407
24,5543
25,5764
26,5068
27,5093
28,5733
29,5297
30,5254
31,5296
32,5887
33,5504
34,5468
35,5449
36,5973
37,5531
38,4737
39,5586
40,5478
41,5613
42,5950
43,5595
44,5456
45,5549
46,5655
47,5707
48,5591
49,5569
50,5443
51,5731
52,5524
53,5398
54,5577
55,5810
56,5611
57,5687
58,5445
59,5645
60,5636
61,5419
62,5722
63,5485
64,5332
65,5409
66,5298
67,5634
68,5597
69,5343
70,5405
71,5838
72,5491
73,5459
74,5796
75,5850
76,5458
77,5488
78,5611
79,5409
80,5485
81,5332
82,5331
83,5797
84,5544
85,5364
86,5777
87,5345
88,5577
89,5519
90,5714
91,5567
92,5775
93,5638
94,5418
95,5299
96,5520
97,5438
98,4614
99,5702
100,5641
101,5813
102,5413
103,5346
104,5367
105,5503
106,5545
107,5633
108,5528
109,5373
110,5895
111,5590
112,5212
113,5513
114,5457
115,5101
116,5587
117,5046
118,5337
119,5267
120,5446
121,5694
122,5430
123,5609
124,5628
125,5080
126,5292
127,5089
128,5397
129,4972
130,5455
131,5230
132,5384
133,5691
134,4853
135,5462
136,5287
137,5338
138,5719
139,5356
140,5357
141,5167
142,5167
143,5217
144,5336
145,5376
146,5724
147,5599
148,5636
149,5449
150,5511
151,5097
152,5617
153,5485
154,5293
155,5162
156,5059
157,5347
158,5589
159,5302
160,5151
161,5453
162,5146
163,5459
164,5823
165,5735
166,5013
167,5516
168,5103
169,5053
170,5404
171,5328
172,5095
173,5566
174,5604
175,5217
176,5418
177,5285
178,5192
179,5313
180,5118
181,5238
182,5592
183,5604
184,5148
185,5494
186,5913
187,5393
188,5374
189,5492
190,5686
191,5453
192,5237
193,5326
194,4972
195,5248
196,5199
197,5323
198,5214
199,5322
200,5640
201,5547
202,5343
203,4709
204,5290
205,5506
206,4729
207,5226
208,5754
209,5287
210,5747
211,5669
212,5237
213,5237
214,5464
215,5062
216,5373
217,5378
218,5504
219,5458
220,5311
221,5031
222,5400
223,5063
224,5316
225,5362
226,5234
227,5662
228,5477
229,5397
230,5410
231,5294
232,5442
233,5143
234,5012
235,5585
236,4963
237,5321
238,5383
239,5067
240,5388
241,5657
242,5209
243,5622
244,5279
245,5781
246,5368
247,4927
248,5808
249,5261
250,4996
251,5126
252,5728
253,5243
254,5623
255,5139
256,5085
257,5374
258,4968
259,5388
260,5048
261,5937
262,5765
263,5472
264,5826
265,5191
266,5571
267,5308
268,5100
269,5350
270,4941
271,5481
272,5058
273,5014
274,5261
275,5708
276,5055
277,5564
278,5600
279,5908
280,5148
281,5218
282,5531
283,5273
284,5539
285,5563
286,5389
287,5448
288,5691
289,5078
290,5292
291,5335
292,5442
293,5623
294,5625
295,5671
296,4974
297,5243
298,5111
299,5020
300,5185
301,5795
302,5465
303,4979
304,5345
305,5434
306,5325
307,5184
308,5380
309,5302
310,5443
311,5025
312,5257
313,5615
314,5293
315,5438
316,5386
317,5377
318,5574
319,5080
320,5077
321,5013
322,5137
323,5329
324,4939
325,5247
326,4943
327,5405
328,4947
329,4982
330,5672
331,5233
332,5380
333,5330
334,5248
335,5012
336,4826
337,5223
338,5450
339,5197
340,5214
341,5552
342,5203
343,5355
344,4751
345,4976
346,5400
347,5094
348,5442
349,5279
350,5434
351,5472
352,4965
353,5245
354,5524
355,5429
356,5243
357,5362
358,5623
359,5474
360,5766
